quote_id,created_at,customer_name,product_id,requested_quantity,spot_material_surcharge_pct,quote_lead_time_days,created_by,quoted_price_usd,is_margin_violated,status
QT-2025-00001,2025-07-16 01:00:58.000000 UTC,Intel Fab Equipment ,AP-ACT-011,76,-0.0004,4.2,John Smith,136727.002472,false,Lost
QT-2025-00002,2025-07-16 05:10:49.000000 UTC,GE Aerospace,AP-VALVE-002,50,-0.0305,3.7,John Smith,104818.307343,false,Lost
QT-2025-00003,2025-07-16 08:11:54.000000 UTC,Parker Hannifin,AP-VALVE-011,25,0.0144,4.7,James Wilson,68658.005673,false,Won
QT-2025-00004,2025-07-17 01:32:21.000000 UTC,Linde Engineering,AP-ACT-012,75,-0.0066,2.8,Priya Shah,159341.893591,false,Lost
QT-2025-00005,2025-07-17 02:45:56.000000 UTC,Baker Hughes Energy,AP-ACT-007,56,0.0203,4.5,Sarah Connor,82727.28922,false,Lost
QT-2025-00006,2025-07-17 03:05:41.000000 UTC,Siemens Industrial Motion,AP-ACT-010,18,0.0004,3.0,John Smith,33964.50107,false,Won
QT-2025-00007,2025-07-17 03:54:34.000000 UTC,Lam Research Operations,AP-LASER-008,245,-0.0232,3.3,Priya Shah,240271.381035,false,Lost
QT-2025-00008,2025-07-17 10:28:58.000000 UTC,KLA Process Control,AP-VALVE-002,25,0.007,2.6,Michael Thompson,50314.995749,false,Won
QT-2025-00009,2025-07-17 18:39:37.000000 UTC,KLA Process Control,AP-ACT-006,81,-0.026,4.0,John Smith,131779.27793,false,Lost
QT-2025-00010,2025-07-18 02:13:47.000000 UTC,Baker Hughes Energy,AP-VALVE-009,25,0.0372,4.8,David Miller,91698.774712,false,Lost
QT-2025-00011,2025-07-18 04:14:26.000000 UTC,Honeywell Process Solutions,AP-VALVE-009,20,0.0662,3.8,Michael Thompson,78281.263485,false,Lost
QT-2025-00012,2025-07-18 23:28:34.000000 UTC,Safran Landing Systems,AP-VALVE-004,40,0.0104,2.9,James Wilson,123887.194508,false,Lost
QT-2025-00013,2025-07-19 03:46:14.000000 UTC,Spirit AeroSystems,AP-VALVE-012,21,0.0015,3.1,Michael Thompson,86335.303043,false,Lost
QT-2025-00014,2025-07-19 11:08:58.000000 UTC,Lam Research Operations,AP-LASER-009,70,0.0117,2.8,David Miller,73235.967259,false,Won
QT-2025-00015,2025-07-19 17:26:10.000000 UTC,Emerson Automation,AP-ACT-007,20,-0.0174,2.2,Maria Rodriguez,30421.250222,false,Won
QT-2025-00016,2025-07-19 17:58:52.000000 UTC,KLA Process Control,AP-VALVE-006,18,0.0483,5.3,James Wilson,43191.301208,false,Lost
QT-2025-00017,2025-07-20 23:03:47.000000 UTC,Emerson Automation,AP-ACT-009,266,0.032,3.5,James Wilson,419706.065887,false,Lost
QT-2025-00018,2025-07-21 02:25:34.000000 UTC,SLB Production Systems,AP-VALVE-003,110,0.0519,4.4,Michael Thompson,263518.285787,false,Won
QT-2025-00019,2025-07-21 13:05:48.000000 UTC,SLB Production Systems,AP-ACT-001,110,-0.0149,3.2,John Smith,143715.380566,false,Lost
QT-2025-00020,2025-07-21 23:45:27.000000 UTC,SpaceX Propulsion,AP-ACT-001,25,-0.0102,5.1,David Miller,29560.745044,false,Lost
QT-2025-00021,2025-07-22 07:54:58.000000 UTC,Pratt & Whitney,AP-LASER-013,45,0.0342,2.6,Maria Rodriguez,52169.223894,false,Won
QT-2025-00022,2025-07-22 19:46:10.000000 UTC,Pratt & Whitney,AP-ACT-009,5,-0.009,3.0,Michael Thompson,7846.567819,false,Lost
QT-2025-00023,2025-07-22 22:39:00.000000 UTC,Bosch Rexroth,AP-VALVE-005,84,0.0439,3.4,Priya Shah,293254.089675,false,Lost
QT-2025-00024,2025-07-23 00:09:58.000000 UTC,Northrop Grumman Systems,AP-LASER-003,118,0.0747,2.5,Sarah Connor,134918.279653,false,Won
QT-2025-00025,2025-07-23 11:13:31.000000 UTC,Siemens Industrial Motion,AP-LASER-001,130,0.004,2.5,James Wilson,89288.584175,false,Won
QT-2025-00026,2025-07-23 14:55:43.000000 UTC,Schneider Electric,AP-LASER-005,240,-0.0078,3.6,James Wilson,209931.596453,false,Won
QT-2025-00027,2025-07-23 19:35:56.000000 UTC,Northrop Grumman Systems,AP-VALVE-006,55,0.0248,3.3,Priya Shah,132413.678467,false,Lost
QT-2025-00028,2025-07-23 19:52:08.000000 UTC,ABB Robotics,AP-LASER-002,205,-0.0177,2.5,Sarah Connor,141098.866958,false,Won
QT-2025-00029,2025-07-23 22:13:36.000000 UTC,Boeing Aerostructures,AP-VALVE-002,22,0.0218,2.6,Priya Shah,45144.112799,false,Lost
QT-2025-00030,2025-07-24 10:40:37.000000 UTC,Airbus Atlantic,AP-LASER-001,101,-0.026,3.1,David Miller,72127.526689,false,Lost
QT-2025-00031,2025-07-25 15:11:01.000000 UTC,GE Aerospace,AP-ACT-004,45,-0.0208,3.9,Maria Rodriguez,82405.657556,false,Won
QT-2025-00032,2025-07-26 03:32:32.000000 UTC,Tokyo Electron America,AP-LASER-011,85,0.0032,2.6,Priya Shah,101694.688586,false,Won
QT-2025-00033,2025-07-26 14:54:41.000000 UTC,Micron Technology Operations,AP-VALVE-011,21,0.0183,4.0,Maria Rodriguez,57120.976114,false,Lost
QT-2025-00034,2025-07-26 17:35:17.000000 UTC,Safran Landing Systems,AP-LASER-009,230,0.0014,2.9,Michael Thompson,230501.547785,false,Won
QT-2025-00035,2025-07-26 17:52:19.000000 UTC,Boeing Aerostructures,AP-VALVE-001,10,0.0307,3.1,David Miller,25744.829605,false,Lost
QT-2025-00036,2025-07-26 21:27:16.000000 UTC,Airbus Atlantic,AP-VALVE-002,268,0.0516,3.0,Maria Rodriguez,569966.004319,false,Lost
QT-2025-00037,2025-07-27 07:27:32.000000 UTC,Pratt & Whitney,AP-ACT-002,60,0.0037,2.4,Priya Shah,77018.721886,false,Won
QT-2025-00038,2025-07-28 02:44:46.000000 UTC,Pratt & Whitney,AP-VALVE-007,87,0.0541,4.9,Michael Thompson,319698.001714,false,Lost
QT-2025-00039,2025-07-28 08:33:03.000000 UTC,Rolls-Royce Aerospace,AP-LASER-013,300,-0.0141,4.1,Michael Thompson,322267.486044,false,Lost
QT-2025-00040,2025-07-29 18:06:49.000000 UTC,Safran Landing Systems,AP-LASER-005,206,0.0297,3.0,James Wilson,183074.011671,false,Won
QT-2025-00041,2025-07-29 22:18:20.000000 UTC,Linde Engineering,AP-VALVE-002,25,0.0446,2.4,John Smith,54181.460103,false,Won
QT-2025-00042,2025-07-31 10:58:18.000000 UTC,Lam Research Operations,AP-ACT-007,55,0.0365,5.5,Priya Shah,79746.531204,false,Lost
QT-2025-00043,2025-07-31 14:43:08.000000 UTC,Emerson Automation,AP-LASER-002,500,-0.0136,3.5,Michael Thompson,342495.318221,false,Lost
QT-2025-00044,2025-08-01 02:54:39.000000 UTC,SLB Production Systems,AP-VALVE-010,70,0.0439,3.8,John Smith,199740.203831,false,Won
QT-2025-00045,2025-08-01 19:11:53.000000 UTC,Parker Hannifin,AP-LASER-005,85,0.0829,2.3,James Wilson,71227.890829,false,Lost
QT-2025-00046,2025-08-01 20:49:20.000000 UTC,Boeing Aerostructures,AP-VALVE-011,43,0.0264,3.7,Michael Thompson,116118.355668,false,Lost
QT-2025-00047,2025-08-02 01:26:54.000000 UTC,Schneider Electric,AP-LASER-002,164,0.0049,2.2,Michael Thompson,122538.450249,false,Lost
QT-2025-00048,2025-08-03 01:54:19.000000 UTC,Rolls-Royce Aerospace,AP-LASER-013,115,0.0252,2.6,Priya Shah,129436.374067,false,Won
QT-2025-00049,2025-08-03 07:46:05.000000 UTC,Micron Technology Operations,AP-LASER-005,160,0.0006,3.3,David Miller,137188.860662,false,Lost
QT-2025-00050,2025-08-03 09:53:47.000000 UTC,Rolls-Royce Aerospace,AP-ACT-010,22,0.0213,3.1,James Wilson,44544.818117,false,Lost
QT-2025-00051,2025-08-03 11:38:05.000000 UTC,Lam Research Operations,AP-ACT-004,135,0.0488,2.5,David Miller,260180.893002,false,Lost
QT-2025-00052,2025-08-03 23:10:34.000000 UTC,Parker Hannifin,AP-LASER-009,320,0.0245,3.3,James Wilson,325174.200704,false,Lost
QT-2025-00053,2025-08-03 23:18:43.000000 UTC,GE Aerospace,AP-ACT-011,95,-0.032,5.9,Emily Chen,168300.786685,false,Lost
QT-2025-00054,2025-08-04 02:11:08.000000 UTC,Rolls-Royce Aerospace,AP-ACT-004,60,-0.0397,3.4,James Wilson,104541.91053,false,Won
QT-2025-00055,2025-08-04 08:32:15.000000 UTC,ABB Robotics,AP-VALVE-004,13,0.0111,3.0,Priya Shah,39843.040637,false,Lost
